created,id,text,screenName,retweetCount
2017-05-21T03:48:34Z,866138622088454144,"Its a no to ""DWMNLT"" or no ""skin sa LoL/Overwatch/ Heroes of the storm."" :(((",yambaojustin,0
2017-05-21T01:27:46Z,866103190063906816,please dont :( before a rainbow comes a storm. please remember it'll get better https://t.co/igxAV0Cl3m,lustbts,0
2017-05-21T00:50:43Z,866093864309882882,it's supposed to storm really bad here im scared :(,siIkjimn,0
2017-05-21T00:32:26Z,866089264819441664,"i am home alone during a storm with an awful headache, great saturday night :(",theqtlinn,0
2017-05-20T23:26:12Z,866072596881735681,I just realized someone let ed outside knowing damn well it was about to storm now Im scared I hope hes ok :(,karIaestraboa,0
2017-05-20T23:06:56Z,866067748186718208,here comes the next storm :(,RamblinRose12,0
2017-05-20T22:07:56Z,866052898215645184,"won vs @Tempo_Storm in OMM, 2-1 ^^ game was good and unfortunately off-stream :(",LiNkzrOW,0
2017-05-20T21:15:39Z,866039742433038338,@FernandaDhb HARRY? :(,A_Little_Storm,0
2017-05-20T21:13:36Z,866039227351527424,"@CallaWalker Yeah, you are killing me with all of this gorgeous. &lt;3 Ahhh :D I want all of this too. But only have Sâ€¦ https://t.co/WoGDDQP2ME",CarinaOlsen,0
2017-05-20T19:17:26Z,866009990351405056,"Rising Storm 2: Vietnam is the most craziest game i've ever played in a long time, and its open beta ends soon :(",Slayer_Tip,0
2017-05-20T17:19:29Z,865980309933895681,It's supposed to storm the whole time I'm in South Carolina :(,eburch331,0
2017-05-20T16:45:09Z,865971667960549378,My dog is so scared of this storm :(,bayleejohnson_,0
2017-05-20T16:29:34Z,865967747615903744,@GailSimone Try to get the first order storm troopers to take you prisoner. They ignored me :(,JBumbalough,0
2017-05-20T16:22:19Z,865965921948626945,@JulieWets My friend is flying in today. I hope this storm ends soon :(,theesadiemarie,0
2017-05-20T16:15:38Z,865964239764287488,Why is it when there's basically a storm outside that I'm in the flat all alone :(,lucyannm8,0
2017-05-20T16:12:06Z,865963350471188481,@BrianWilkes59wx That was a whopper of a storm! Off the water safe but no whoppers!!  :-(,ShawnRexroth,0
2017-05-20T16:03:01Z,865961065401782272,Not a fan of streaming during a thunder storm...and we are currently having a thunder storm... :( Will post again iâ€¦ https://t.co/mEyQxIMjty,gektekRadio,0
